"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Afghanistan","Asia",1992,41.674,16317921,649.3413952
"2","Albania","Europe",1992,71.581,3326498,2497.437901
"3","Algeria","Africa",1992,67.744,26298373,5023.216647
"4","Angola","Africa",1992,40.647,8735988,2627.845685
"5","Argentina","Americas",1992,71.868,33958947,9308.41871
"6","Australia","Oceania",1992,77.56,17481977,23424.76683
"7","Austria","Europe",1992,76.04,7914969,27042.01868
"8","Bahrain","Asia",1992,72.601,529491,19035.57917
"9","Bangladesh","Asia",1992,56.018,113704579,837.8101643
"10","Belgium","Europe",1992,76.46,10045622,25575.57069
"11","Benin","Africa",1992,53.919,4981671,1191.207681
"12","Bolivia","Americas",1992,59.957,6893451,2961.699694
"13","Bosnia and Herzegovina","Europe",1992,72.178,4256013,2546.781445
"14","Botswana","Africa",1992,62.745,1342614,7954.111645
"15","Brazil","Americas",1992,67.057,155975974,6950.283021
"16","Bulgaria","Europe",1992,71.19,8658506,6302.623438
"17","Burkina Faso","Africa",1992,50.26,8878303,931.7527731
"18","Burundi","Africa",1992,44.736,5809236,631.6998778
"19","Cambodia","Asia",1992,55.803,10150094,682.3031755
"20","Cameroon","Africa",1992,54.314,12467171,1793.163278
"21","Canada","Americas",1992,77.95,28523502,26342.88426
"22","Central African Republic","Africa",1992,49.396,3265124,747.9055252
"23","Chad","Africa",1992,51.724,6429417,1058.0643
"24","Chile","Americas",1992,74.126,13572994,7596.125964
"25","China","Asia",1992,68.69,1164970000,1655.784158
"26","Colombia","Americas",1992,68.421,34202721,5444.648617
"27","Comoros","Africa",1992,57.939,454429,1246.90737
"28","Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807
"29","Congo, Rep.","Africa",1992,56.433,2409073,4016.239529
"30","Costa Rica","Americas",1992,75.713,3173216,6160.416317
"31","Cote d'Ivoire","Africa",1992,52.044,12772596,1648.073791
"32","Croatia","Europe",1992,72.527,4494013,8447.794873
"33","Cuba","Americas",1992,74.414,10723260,5592.843963
"34","Czech Republic","Europe",1992,72.4,10315702,14297.02122
"35","Denmark","Europe",1992,75.33,5171393,26406.73985
"36","Djibouti","Africa",1992,51.604,384156,2377.156192
"37","Dominican Republic","Americas",1992,68.457,7351181,3044.214214
"38","Ecuador","Americas",1992,69.613,10748394,7103.702595
"39","Egypt","Africa",1992,63.674,59402198,3794.755195
"40","El Salvador","Americas",1992,66.798,5274649,4444.2317
"41","Equatorial Guinea","Africa",1992,47.545,387838,1132.055034
"42","Eritrea","Africa",1992,49.991,3668440,582.8585102
"43","Ethiopia","Africa",1992,48.091,52088559,421.3534653
"44","Finland","Europe",1992,75.7,5041039,20647.16499
"45","France","Europe",1992,77.46,57374179,24703.79615
"46","Gabon","Africa",1992,61.366,985739,13522.15752
"47","Gambia","Africa",1992,52.644,1025384,665.6244126
"48","Germany","Europe",1992,76.07,80597764,26505.30317
"49","Ghana","Africa",1992,57.501,16278738,925.060154
"50","Greece","Europe",1992,77.03,10325429,17541.49634
"51","Guatemala","Americas",1992,63.373,8486949,4439.45084
"52","Guinea","Africa",1992,48.576,6990574,794.3484384
